"","x"
"1",84.5714786350765
"2",-30.3803630379859
"3",-14.2487907309166
"4",-34.2060401996558
"5",148.012353711995
"6",43.0701994939566
"7",66.0990019439333
"8",75.2466426376322
"9",89.4917423865909
"10",27.7991070043412
"11",10.1740604059385
"12",16.9586157675394
"13",70.8698735443052
"14",47.1496270232352
"15",33.1303125236509
"16",38.9842022972654
"17",113.883663876067
"18",-20.5807111855582
"19",-29.909123683827
"20",31.2299235490186
"21",-29.5247322493348
"22",26.2032717038671
"23",27.2801892652764
"24",39.903778783399
"25",67.431960529966
"26",93.105054756297
"27",120.332894829455
"28",52.9670853104314
"29",97.3583618085276
"30",-39.7238904472456
"31",94.8194272435643
"32",-29.1635167885891
"33",103.955006900069
"34",116.799657984312
"35",-28.3495357541124
"36",119.327748941249
"37",-73.5962874528672
"38",18.1134669268793
"39",-25.8522417421377
"40",134.520228228397
"41",160.496518502253
"42",124.099049316095
"43",72.1482195083599
"44",23.8200439147092
"45",65.9999825299782
"46",176.908740386023
"47",48.4969233737291
"48",75.1906704999137
"49",-61.3934682615829
"50",-48.6475855037376
"51",14.1060922945827
"52",130.658789761088
"53",20.3554990350644
"54",65.3085249612965
"55",60.1322880193026
"56",137.951386787983
"57",69.826896237564
"58",66.6556563730244
"59",132.973451678414
"60",124.675871830521
